ID,Name,Concepticon_ID,Concepticon_Gloss
candle,candle,1273,CANDLE
trough,trough,205,TROUGH
roof,roof,769,ROOF
ridgepole,ridgepole,280,RIDGEPOLE
rafter,rafter,829,RAFTER
beam,beam,1132,BEAM
postpole,"post, pole",281,POST
brick,brick,1006,BRICK
fieldforcultivation,field (for cultivation),212,FIELD
garden,garden,586,GARDEN
cultivatetill,"cultivate, till",1541,CULTIVATE
fence,fence,1690,FENCE
ditch,ditch,2002,DITCH
plow,plow,1921,PLOUGH
dig,dig,1418,DIG
sow,sow,1351,SOW (FEMALE PIG)
seed,seed,714,SEED
mowreap,"mow, reap",190,MOW
grainbarleyoatsetc,"grain (barley, oats etc)",605,GRAIN
maizecorn,"maize, corn",506,MAIZE
grass,grass,606,GRASS
plantvb,plant (vb),1486,PLANT (SOMETHING)
root,root,670,ROOT
branch,branch,1531,BRANCH
leaf,leaf,628,LEAF
flower,flower,239,FLOWER
tree,tree,906,TREE
vine,vine,343,VINE
tobacco,tobacco,974,TOBACCO
smoketobacco,smoke (tobacco),1689,SMOKE (INHALE)
treetrunk,tree trunk,344,TREE TRUNK
forkedbranch,forked branch,409,FORKED BRANCH
bark,bark,1204,BARK
sap,sap,345,SAP
palmtree,palm tree,1181,PALM TREE
bananatree,banana tree,868,BANANA
sweetpotato,sweet potato,159,SWEET POTATO
yam,yam,410,YAM
tapiocamanioccassava,"tapioca, manioc, cassava",925,CASSAVA
gourd,gourd,411,GOURD
bamboo,bamboo,1927,BAMBOO
sugarcane,sugar cane,146,SUGAR CANE
fishpoisonroot,fish poison (root),348,FISH POISON
nettle,nettle,33,NETTLE
mushroom,mushroom,641,MUSHROOM
domake,"do, make",2575,DO OR MAKE
work,work,984,WORK (LABOUR)
fold,fold,1470,FOLD
tiebind,"tie, bind",1917,TIE
untie,untie,352,UNTIE
chain,chain,1627,CHAIN
ropecord,"rope, cord",1218,ROPE
strikehitbeat,"strike (hit, beat)",2133,STRIKE OR BEAT
poundwithfist,pound with fist,354,POUND
cut,cut,1432,CUT
cutdown,cut down,355,CUT DOWN
chophew,"chop, hew",155,CHOP
ax,ax,677,AXE
adze,adze,290,ADZE
break,break,680,BREAK (DESTROY OR GET DESTROYED)
split,split,1437,SPLIT
tear,tear,1735,TEAR (SHRED)
rubwipe,"rub, wipe",1449,RUB
stretch,stretch,214,STRETCH
pull,pull,1455,PULL
spreadout,spread out,38,SPREAD OUT
hangup,hang up,357,HANG UP
press,press,1913,PRESS
squeezewring,"squeeze, wring",1414,SQUEEZE
pour,pour,1487,POUR
wash,wash,1453,WASH
sweep,sweep,230,SWEEP
broom,broom,245,BROOM
tool,tool,1361,TOOL
bore,bore,1501,BORE
nail,nail,502,NAIL (TOOL)
gold,gold,1369,GOLD
silver,silver,759,SILVER
clay,clay,1399,CLAY
glass,glass,604,GLASS
weaveplait,"weave, plait",1729,PLAIT OR BRAID OR WEAVE
basket,basket,1539,BASKET
fannoun,fan (noun),1971,FAN (OBJECT)
fanvb,fan (vb),360,FAN ACTION
paintvb,paint (vb),2001,PAINTING
turnover,turn over,1588,TURN
turnaround,turn around,1445,TURN (SOMETHING)
windwrap,"wind, wrap",1113,WRAP
dropvb,drop (vb),808,DRIP (FALL IN GLOBULES)
twist,twist,430,TWIST
rise,rise,568,RISE (MOVE UPWARDS)
raiselift,"raise, lift",501,LIFT
fall,fall,1280,FALL
drip,drip,2253,DRIP (EMIT LIQUID)
throw,throw,1456,THROW
catchball,catch (ball),702,CATCH
shake,shake,1909,SHAKE
flow,flow,2003,FLOW
float,float,1574,FLOAT
swim,swim,1439,SWIM
splash,splash,365,SPLASH
flyvb,fly (vb),1441,FLY (MOVE THROUGH AIR)
blow,blow,175,BLOW (OF WIND)
creepcrawl,"creep, crawl",96,CRAWL
kneel,kneel,66,KNEEL
slideslip,"slide, slip",1324,SLIP
jumpleap,"jump, leap",1829,JUMP
kick,kick,1135,KICK
dance,dance,1879,DANCE
walk,walk,1443,WALK
run,run,1519,RUN
go,go,695,GO
goup,go up,705,GO UP (ASCEND)
godown,go down,2014,GO DOWN (DESCEND)
goout,go out,1107,GO OUT
come,come,1446,COME
comeback,come back,581,COME BACK
goawaydepart,"go away, depart",1752,LEAVE
disappear,disappear,485,DISAPPEAR
flee,flee,956,FLEE
follow,follow,1085,FOLLOW
pursue,pursue,1047,PURSUE
reacharrive,"reach, arrive",1387,ARRIVE
approach,approach,1778,APPROACH
enter,enter,749,ENTER
carrybear,carry (bear),700,CARRY
carryonshoulder,carry-on-shoulder,413,CARRY ON SHOULDER
bring,bring,692,BRING
send,send,1127,SEND
leadvb,lead (vb),43,LEAD (GUIDE)
pushshove,"push, shove",1452,PUSH
path,path,2252,PATH
wheel,wheel,710,WHEEL
canoe,canoe,1970,CANOE
raft,raft,1664,RAFT
oar,oar,108,RUDDER
rowvb,row (vb),1849,ROW
harborport,"harbor, port",610,PORT
have,have,773,HAVE
ownpossess,"own, possess",684,OWN
take,take,1749,TAKE
seizegrasp,"seize, grasp",2021,GRASP
getobtain,"get, obtain",694,GET
keepretain,"keep, retain",1477,KEEP
thing,thing,738,THING
give,give,1447,GIVE
giveback,give back,85,GIVE BACK
destroy,destroy,681,DESTROY
harminjuredamage,"harm, injure, damage",44,INJURE
seeklookfor,"seek, look for",1468,LOOK FOR
find,find,719,FIND
lose,lose,1660,LOSE
releaseletgo,"release, let go",1095,LET GO OR SET FREE
money,money,1559,MONEY
coin,coin,1867,COIN
poor,poor,1674,POOR
beggar,beggar,1934,BEGGAR
lend,lend,582,LEND
owe,owe,369,OWE
payvb,pay (vb),718,PAY
accountreckoning,"account, reckoning",1081,BILL
earn,earn,733,EARN
buy,buy,1869,BUY
sell,sell,1571,SELL
sharedistribute,share (distribute),884,SHARE
after,after,1685,AFTER
place,place,723,PLACE (POSITION)
downbelow,"down, below",2094,DOWN OR BELOW
before,before,1882,BEFORE
rightside,right (side),1019,RIGHT
insidein,"inside, in",1606,INSIDE
outside,outside,762,OUTSIDE
under,under,1485,BELOW OR UNDER
upabove,"up, above",1591,UP
sit,sit,1416,SIT
liedown,lie down,215,LIE DOWN
stand,stand,1442,STAND
remainstay,"remain, stay",987,REMAIN
collectgather,"collect, gather",7,GATHER
pileup,pile up,1576,PILE UP
joinunite,"join, unite",1743,JOIN
separate,separate,1359,SEPARATE
divide,divide,1119,DIVIDE
open,open,1156,OPEN
shutclose,"shut, close",1046,SHUT
cover,cover,761,COVER
hideconceal,"hide, conceal",602,HIDE (CONCEAL)
high,high,1265,HIGH
top,top,1753,TOP
bottom,bottom,690,BOTTOM
pointed,pointed,372,POINTED
edge,edge,863,EDGE
side,side,682,SIDE
middlecenter,"middle, center",1093,MIDDLE
leftside,left (side),244,LEFT
nearadv,near (adv),1942,NEAR
faradv,far (adv),1406,FAR
grow,grow,479,GROW
measure,measure,1506,MEASURE
largebig,"large, big",1202,BIG
smalllittle,"small, little",1246,SMALL
long,long,1203,LONG
short,short,1645,SHORT
widebroad,"wide, broad",1243,WIDE
thinindimension,thin (in dimension),2249,THIN (OF SHAPE OF OBJECT)
deep,deep,1593,DEEP
flat,flat,1633,FLAT
straight,straight,1404,STRAIGHT
crooked,crooked,297,CROOKED
cross,cross,1367,CROSS
circle,circle,1467,CIRCLE
hole,hole,1667,HOLE
change,change,1264,CHANGE
zeronothing,"zero, nothing",1294,ZERO
one,one,1493,ONE
two,two,1498,TWO
three,three,492,THREE
four,four,1500,FOUR
ten,ten,1515,TEN
everyall,"every, all",98,ALL
muchmany,"much, many",1198,MANY
more,more,1992,MORE
some,some,1241,SOME
full,full,1429,FULL
partpiece,"part, piece",779,PART
half,half,816,HALF
aloneonly,"alone, only",1580,ONLY
first,first,728,FIRST
last,last,1529,LAST (FINAL)
new,new,1231,NEW
late,late,477,LATE
now,now,1376,NOW
immediately,immediately,1963,IMMEDIATELY
swiftfastquick,"swift, fast, quick",1631,FAST
slow,slow,701,SLOW
retarddelay,"retard, delay",425,BE LATE
beginbeginning,"begin, beginning",1806,BEGIN
finish,finish,1766,FINISH
ceasestop,"cease, stop",1928,CEASE
longtimefora,long-time (for a),418,FOR A LONG TIME
again,again,204,AGAIN
day,day,1225,DAY (NOT NIGHT)
night,night,1233,NIGHT
dawn,dawn,729,DAWN
morning,morning,1339,MORNING
afternoon,afternoon,1807,AFTERNOON
today,today,1283,TODAY
tomorrow,tomorrow,1329,TOMORROW
yesterday,yesterday,1174,YESTERDAY
month,month,1370,MONTH
year,year,1226,YEAR
winter,winter,1471,WINTER
summer,summer,1342,SUMMER
season,season,691,SEASON
smellvbintrans,smell (vb intrans),1587,SMELL (STINK)
smellvbtrans,smell (vb trans),1586,SMELL (PERCEIVE)
fragrantgoodsmelling,"fragrant, good smelling",376,FRAGRANT
stinkingbadsmelling,"stinking, bad smelling",42,STINKING
sweet,sweet,717,SWEET
bitter,bitter,887,BITTER
hear,hear,1408,HEAR
listen,listen,1608,LISTEN
soundnoise,"sound, noise",1811,SOUND OR NOISE
see,see,1409,SEE
looklookat,"look, look at",1819,LOOK
show,show,1039,SHOW
shine,shine,708,SHINE
bright,bright,679,BRIGHT
white,white,1335,WHITE
black,black,163,BLACK
red,red,156,RED
yellow,yellow,1424,YELLOW
touch,touch,1892,TOUCH
feel,feel,1079,FEEL
hard,hard,1884,HARD
soft,soft,1856,SOFT
smooth,smooth,1234,SMOOTH
sharp,sharp,1396,SHARP
heavy,heavy,1210,HEAVY
lightinweight,light (in weight),1052,LIGHT (WEIGHT)
wetdamp,"wet, damp",1726,WET
dry,dry,1398,DRY
hot,hot,1286,HOT
warm,warm,1232,WARM
cold,cold,1287,COLD
clean,clean,704,CLEAN
dirtysoiled,"dirty, soiled",1230,DIRTY
wrinkled,wrinkled,380,WRINKLED
soulspirit,"soul, spirit",53,SPIRIT
surprisedastonished,"surprised, astonished",1572,SURPRISED
joyfulgladhappy,"joyful, glad, happy",1495,HAPPY
laugh,laugh,1355,LAUGH
play,play,1413,PLAY
love,love,923,LOVE
kiss,kiss,578,KISS
embrace,embrace,928,EMBRACE
pain,pain,1783,PAIN
cryweep,"cry, weep",1839,CRY
hate,hate,1607,HATE
shamenoun,shame (noun),1776,SHAME
fearfright,"fear, fright",781,FEAR (FRIGHT)
desirewant,"desire, want",1784,WANT
choose,choose,1750,CHOOSE
lietelllies,"lie, tell lies",601,LIE (MISLEAD)
deceit,deceit,13,DECEIT
bad,bad,1292,BAD
fault,fault,134,FAULT
beautiful,beautiful,1427,BEAUTIFUL
ugly,ugly,1548,UGLY
thinkreflect,think (= reflect),1415,THINK (REFLECT)
thinkbeoftheopinion,think (= be of the opinion),1513,THINK (BELIEVE)
understand,understand,1536,UNDERSTAND
know,know,1410,KNOW (SOMETHING)
seem,seem,1521,SEEM
learn,learn,504,LEARN
study,study,1929,STUDY
teach,teach,709,TEACH
school,school,673,SCHOOL
forget,forget,1523,FORGET
secret,secret,1121,SECRET
surecertain,"sure, certain",509,CERTAIN
cause,cause,860,CAUSE
yesaffirmative,"yes, affirmative",1268,YES
nonegative,"no, negative",1269,NO
how,how?,1239,HOW
howmuch,how much?,531,HOW MUCH
when,when?,1238,WHEN
where,where?,1237,WHERE
which,which?,727,WHICH
who,who?,1235,WHO
sing,sing,1261,SING
shoutcryout,"shout, cry out",715,SHOUT
whistle,whistle,1025,WHISTLE
speaktalk,"speak, talk",1623,SPEAK
say,say,1458,SAY
speechmakea,speech (make a),1115,SPEECH
language,language,1307,LANGUAGE
word,word,1599,WORD
name,name,1405,NAME
askquestioninquire,"ask (question, inquire)",1309,ASK (INQUIRE)
answer,answer,1275,ANSWER
askrequest,"ask, request",1828,ASK (REQUEST)
forbid,forbid,83,FORBID
rebukescold,"rebuke, scold",299,SCOLD
callsummon,call (=summon),1084,CALL
announce,announce,9,ANNOUNCE
write,write,1672,WRITE
paper,paper,648,PAPER
book,book,963,BOOK
flute,flute,777,FLUTE
drum,drum,908,DRUM
citytown,"city, town",1391,TOWN
village,village,930,VILLAGE
peoplepopulace,people (populace),789,PEOPLE
chiefchieftain,"chief, chieftain",301,CHIEFTAIN
staffwalkingstick,"staff, walking stick",1296,WALKING STICK
rulegovern,"rule, govern",1846,RULE
kingruler,"king, ruler",1508,KING
citizensubject,"citizen, subject",1032,CITIZEN
letpermit,"let, permit",1003,PERMIT
friendcompanion,"friend, companion",1325,FRIEND
enemy,enemy,1358,ENEMY
stranger,stranger,791,STRANGER
helpaid,"help, aid",1897,HELP
hinderprevent,"hinder, prevent",1550,PREVENT
meet,meet,1831,MEET
fightvb,fight (vb),1423,FIGHT
weaponsarms,"weapons, arms",951,WEAPONS
bow,bow,994,BOW
arrow,arrow,977,ARROW
spear,spear,945,SPEAR
guncannon,"gun, cannon",1566,GUN
defend,defend,1330,DEFEND
retreat,retreat,421,RETREAT
fishhook,fishhook,1074,FISHHOOK
fishingline,fishing line,19,FISHING LINE
fishnet,fishnet,388,FISHNET
shoot,shoot,1172,SHOOT
accuse,accuse,1814,ACCUSE
penaltypunishment,"penalty, punishment",390,PUNISHMENT
prisonjail,"prison, jail",1281,PRISON
steal,steal,713,STEAL
thief,thief,1160,THIEF
mainland,mainland,166,MAINLAND
cave,cave,1155,CAVE
sea,sea,1474,SEA
calmofsea,calm (of sea),258,CALM
reef,reef,660,REEF
lowtide,lowtide,1026,LOW TIDE
hightide,hightide,613,HIGH TIDE
lightningasstriking,lightning (as striking),2007,BOLT (OF LIGHTNING)
fog,fog,249,FOG
snownoun,snow (noun),784,SNOW
ice,ice,617,ICE
flamenoun,flame (noun),889,FLAME
brother,brother,1262,BROTHER
sister,sister,1263,SISTER
fatherssister,father's sister,170,FATHER'S SISTER
fatherinlawofaman,father-in-law (of a man),2255,FATHER-IN-LAW (OF MAN)
motherinlawofaman,mother-in-law (of a man),2256,MOTHER-IN-LAW (OF WOMAN)
relativeskinsmen,"relatives, kinsmen",1644,RELATIVES
family,family,194,FAMILY
we,we,1212,WE
maleadj,male (adj),2261,MALE (OF PERSON)
femaleadj,female (adj),2262,FEMALE (OF ANIMAL)
seagull,seagull,950,SEAGULL
eagle,eagle,1905,EAGLE
findorsal,fin (dorsal),213,FIN
whale,whale,957,WHALE
grasshopper,grasshopper,607,GRASSHOPPER
horn,horn,1393,HORN (ANATOMY)
spine,spine,805,SPINE
chin,chin,1510,CHIN
eyelid,eyelid,17,EYELID
gums,gums,139,GUMS
throat,throat,1346,THROAT
collarbone,collarbone,1994,COLLARBONE
wrist,wrist,799,WRIST
thumb,thumb,1781,THUMB
calfofleg,calf of leg,498,CALF OF LEG
footprint,footprint,318,FOOTPRINT
toe,toe,1389,TOE
feather,feather,1201,FEATHER
lung,lung,688,LUNG
